negara,tahun_18,tahun_19,tahun_20,tahun_21,tahun_22
Sierra Leona,431,312,74,8,63
Singapore,1768744,1934445,280492,18704,736797
Slovakia,9058,9359,2203,152,3046
Slovenia,4472,4747,986,66,1347
Solomon Islands,192,224,81,56,53
Somalia,59,44,19,13,54
South Africa,41962,47657,7350,572,13267
South America,62868,65630,15142,1450,27434
South Korea,358885,388316,75562,9497,122221
South Sudan,24,30,4,0,43
Spain,85560,83373,11829,3255,51563
Srilanka,32508,28907,4300,620,3447
St. Christopher,0,0,2,0,0
St. Kitts & Nevis,175,243,57,6,74
St. Lucia,87,38,11,1,24
St. Vincent,37,32,12,0,6
Stateless,11,13,1,0,7
Sudan,2578,2391,718,101,819
Suriname,341,353,48,13,183
Swaziland,332,274,33,1,109
Sweden,50381,56402,17600,3516,19885
Switzerland,60293,57484,8362,782,23192
Syiria,1941,2322,428,182,989
Taiwan,208317,207490,35680,1398,25750
Tajikhistan,525,448,125,21,180
Tanzania,1207,1151,349,110,484
Thailand,124153,136699,21303,3992,61128
Tibet,0,173,0,0,0
Timor Leste,1762442,1178381,994590,819488,703780
Togo,94,140,19,13,79
Tonga,139,138,23,8,18
Trinidad & Tobago,447,450,80,8,95
Tunisia,3867,4335,645,75,3170
Turki,20861,23883,6038,1122,14424
Turkmenistan,426,356,127,12,127
Tuvalu,28,18,6,0,1
Uganda,1157,895,218,22,219
Ukraine,26697,35537,16491,3044,11428
Uni Emirat Arab,7100,9065,1093,384,5456
United Kingdom,392112,397624,69997,5177,170881
United States of America,387856,457832,91782,21962,188764
UNO,2084,2039,355,127,1169
Uruguay,1934,2063,845,32,355
Uzbekistan,3548,3756,1586,68,1393
Vanuatu,130,191,29,14,60
Vatikan,36,35,5,2,11
Venezuela,1602,1548,300,56,312
Vietnam,75816,96024,19608,2008,68067
Volta Atas,0,1,0,0,0
Wales,0,57,0,0,0
Yaman,10008,9221,2094,758,3208
Yugoslavia,1,1,1,0,0
Yunani (Greece),7713,9705,2047,385,5324
Zaire,1,1,2,9,7
Zambia,373,406,80,5,187
Zimbabwe,1219,1742,336,22,445
